date;plant-stand;precip;temp;hail;crop-hist;area-damaged;severity;seed-tmt;germination;plant-growth;leaves;leafspots-halo;leafspots-marg;leafspot-size;leaf-shread;leaf-malf;leaf-mild;stem;lodging;stem-cankers;canker-lesion;fruiting-bodies;external-decay;mycelium;int-discolor;sclerotia;fruit-pods;fruit-spots;seed;mold-growth;seed-discolor;seed-size;shriveling;roots;class
september;normal;norm;gt-norm;yes;same-lst-yr;upper-areas;minor;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;lt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
september;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;low-areas;pot-severe;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;normal;lt-norm;norm;yes;same-lst-sev-yrs;upper-areas;severe;fungicide;80-89;abnorm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dk-brown-blk;absent;absent;absent;brown;absent;norm;dna;norm;absent;absent;norm;absent;norm;brown-stem-rot
july;lt-normal;norm;gt-norm;yes;same-lst-sev-yrs;low-areas;minor;other;lt-80;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
august;normal;gt-norm;gt-norm;no;same-lst-two-yrs;low-areas;minor;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
july;normal;norm;norm;yes;same-lst-yr;scattered;minor;none;90-100;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;few-present;colored;norm;absent;absent;norm;absent;galls-cysts;bacterial-blight
september;lt-normal;norm;gt-norm;yes;same-lst-yr;upper-areas;minor;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
august;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;scattered;severe;other;80-89;norm;abnorm;yellow-halos;no-w-s-marg;dna;absent;absent;absent;abnorm;yes;above-soil;brown;absent;firm-and-dry;absent;none;absent;dna;distort;norm;absent;absent;norm;absent;rotted;frog-eye-leaf-spot
june;normal;norm;norm;yes;same-lst-two-yrs;whole-field;minor;none;90-100;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;present;absent;absent;norm;no;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;bacterial-blight
may;lt-normal;norm;norm;yes;same-lst-yr;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
july;lt-normal;gt-norm;norm;no;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;no;above-soil;dk-brown-blk;absent;watery;absent;none;absent;norm;absent;abnorm;absent;absent;norm;absent;rotted;phytophthora-rot
june;lt-normal;lt-norm;norm;no;same-lst-yr;whole-field;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;phyllosticta-leaf-spot
july;lt-normal;gt-norm;gt-norm;yes;diff-lst-year;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
april;normal;gt-norm;norm;yes;same-lst-two-yrs;scattered;pot-severe;none;80-89;norm;abnorm;absent;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
july;lt-normal;gt-norm;gt-norm;yes;same-lst-yr;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;phytophthora-rot
october;lt-normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;whole-field;minor;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
august;normal;norm;norm;no;diff-lst-year;upper-areas;severe;other;80-89;norm;abnorm;yellow-halos;no-w-s-marg;lt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;bacterial-pustule
july;normal;gt-norm;gt-norm;yes;same-lst-yr;low-areas;minor;fungicide;80-89;norm;norm;absent;dna;dna;absent;present;absent;abnorm;yes;absent;tan;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;purple-seed-stain
june;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
august;normal;norm;norm;no;same-lst-two-yrs;upper-areas;pot-severe;fungicide;lt-80;abnorm;abnorm;no-yellow-halos;dna;dna;absent;absent;absent;abnorm;no;absent;tan;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
may;normal;gt-norm;norm;yes;same-lst-yr;scattered;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
august;normal;gt-norm;norm;yes;same-lst-sev-yrs;upper-areas;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
october;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;low-areas;minor;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
july;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
june;lt-normal;gt-norm;lt-norm;no;diff-lst-year;scattered;pot-severe;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;lower-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;present;absent;lt-norm;present;norm;downy-mildew
july;normal;norm;gt-norm;no;diff-lst-year;scattered;minor;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
july;normal;gt-norm;norm;no;same-lst-two-yrs;whole-field;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;tan;present;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;rotted;brown-spot
may;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
july;normal;lt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;fungicide;90-100;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
august;lt-normal;norm;norm;yes;same-lst-two-yrs;upper-areas;pot-severe;fungicide;lt-80;norm;abnorm;absent;dna;dna;absent;absent;upper-surf;norm;yes;absent;dna;absent;absent;absent;black;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
june;normal;gt-norm;norm;yes;same-lst-yr;whole-field;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
may;lt-normal;norm;norm;yes;same-lst-sev-yrs;upper-areas;pot-severe;none;90-100;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;present;absent;absent;norm;yes;above-soil;dna;absent;firm-and-dry;absent;none;absent;few-present;brown-w/blk-specks;norm;absent;absent;norm;absent;galls-cysts;bacterial-blight
september;lt-normal;gt-norm;gt-norm;no;same-lst-yr;whole-field;pot-severe;none;lt-80;norm;norm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;no;absent;dna;present;absent;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;present;lt-norm;present;norm;diaporthe-pod-&-stem-blight
october;normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;whole-field;pot-severe;none;90-100;norm;norm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;absent;dna;present;absent;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;present;lt-norm;present;norm;diaporthe-pod-&-stem-blight
july;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;upper-areas;pot-severe;none;80-89;norm;abnorm;yellow-halos;w-s-marg;gt-1/8;absent;absent;lower-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
june;normal;lt-norm;norm;no;same-lst-yr;scattered;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;phyllosticta-leaf-spot
september;normal;gt-norm;norm;yes;same-lst-sev-yrs;scattered;pot-severe;fungicide;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;no;above-sec-nde;brown;present;firm-and-dry;absent;none;absent;norm;dna;norm;absent;absent;norm;absent;norm;diaporthe-stem-canker
june;lt-normal;norm;gt-norm;yes;same-lst-sev-yrs;low-areas;minor;fungicide;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;no;above-soil;dk-brown-blk;absent;absent;absent;none;absent;dna;absent;norm;absent;absent;norm;absent;norm;phytophthora-rot
june;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
may;normal;gt-norm;norm;yes;same-lst-yr;scattered;pot-severe;other;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
july;normal;gt-norm;norm;yes;same-lst-two-yrs;scattered;pot-severe;none;80-89;norm;abnorm;absent;dna;dna;absent;present;absent;abnorm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;2-4-d-injury
july;lt-normal;norm;gt-norm;yes;same-lst-two-yrs;whole-field;severe;other;80-89;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
june;normal;gt-norm;lt-norm;yes;same-lst-yr;whole-field;pot-severe;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;lower-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
september;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;low-areas;pot-severe;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;above-sec-nde;dna;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
june;lt-normal;gt-norm;gt-norm;no;same-lst-two-yrs;low-areas;pot-severe;fungicide;90-100;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;watery;absent;none;absent;norm;absent;norm;present;present;lt-norm;absent;rotted;bacterial-blight
october;lt-normal;gt-norm;gt-norm;yes;same-lst-yr;upper-areas;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
september;normal;gt-norm;norm;yes;same-lst-yr;whole-field;severe;other;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;colored;norm;absent;absent;norm;absent;norm;brown-spot
may;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;scattered;pot-severe;other;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;present;norm;absent;norm;brown-spot
june;normal;norm;norm;no;same-lst-yr;scattered;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;present;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phyllosticta-leaf-spot
september;normal;gt-norm;gt-norm;yes;same-lst-yr;upper-areas;minor;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;lt-norm;present;norm;frog-eye-leaf-spot
may;lt-normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
april;lt-normal;norm;lt-norm;yes;same-lst-yr;low-areas;severe;fungicide;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;watery;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
july;lt-normal;lt-norm;lt-norm;yes;same-lst-two-yrs;upper-areas;minor;other;90-100;norm;norm;no-yellow-halos;dna;dna;absent;absent;upper-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
june;normal;gt-norm;norm;no;same-lst-two-yrs;whole-field;pot-severe;fungicide;lt-80;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;no;above-sec-nde;brown;present;absent;absent;none;absent;norm;dna;norm;absent;absent;norm;absent;norm;diaporthe-stem-canker
june;lt-normal;gt-norm;norm;no;diff-lst-year;scattered;pot-severe;fungicide;lt-80;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;phytophthora-rot
july;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;fungicide;lt-80;norm;abnorm;yellow-halos;w-s-marg;gt-1/8;absent;absent;lower-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
may;lt-normal;gt-norm;lt-norm;yes;same-lst-sev-yrs;whole-field;severe;fungicide;80-89;abnorm;abnorm;no-yellow-halos;no-w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;brown;absent;absent;absent;none;absent;few-present;colored;norm;absent;absent;norm;absent;rotted;rhizoctonia-root-rot
october;lt-normal;gt-norm;norm;yes;same-lst-yr;scattered;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;distort;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
may;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
october;normal;gt-norm;norm;yes;diff-lst-year;whole-field;minor;fungicide;80-89;norm;norm;absent;dna;dna;absent;absent;upper-surf;abnorm;yes;absent;dna;absent;watery;absent;none;absent;norm;colored;abnorm;absent;present;norm;absent;norm;purple-seed-stain
august;lt-normal;norm;gt-norm;no;same-lst-two-yrs;whole-field;minor;fungicide;lt-80;norm;abnorm;no-yellow-halos;dna;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;few-present;absent;norm;absent;absent;norm;absent;galls-cysts;bacterial-blight
july;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;w-s-marg;dna;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;firm-and-dry;absent;none;absent;few-present;absent;norm;absent;absent;norm;absent;norm;phytophthora-rot
august;normal;gt-norm;lt-norm;yes;same-lst-two-yrs;upper-areas;minor;other;lt-80;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;absent;present;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;bacterial-blight
june;normal;norm;norm;yes;same-lst-yr;scattered;minor;none;80-89;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;galls-cysts;bacterial-blight
august;normal;gt-norm;norm;yes;same-lst-yr;low-areas;minor;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;few-present;colored;norm;absent;absent;norm;absent;galls-cysts;frog-eye-leaf-spot
august;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;upper-areas;minor;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;normal;gt-norm;gt-norm;yes;diff-lst-year;scattered;minor;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
september;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;below-soil;dna;absent;firm-and-dry;absent;none;absent;dna;absent;norm;absent;absent;norm;absent;galls-cysts;frog-eye-leaf-spot
september;normal;norm;norm;yes;same-lst-two-yrs;whole-field;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;dna;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;few-present;absent;norm;absent;absent;norm;absent;norm;brown-spot
june;lt-normal;norm;gt-norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dk-brown-blk;absent;watery;absent;none;absent;diseased;absent;norm;absent;absent;norm;absent;galls-cysts;phytophthora-rot
july;lt-normal;norm;norm;no;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
april;lt-normal;gt-norm;lt-norm;yes;diff-lst-year;low-areas;pot-severe;none;lt-80;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;upper-surf;abnorm;yes;above-sec-nde;dna;absent;watery;present;none;absent;diseased;brown-w/blk-specks;norm;absent;absent;norm;absent;galls-cysts;rhizoctonia-root-rot
july;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;other;80-89;norm;abnorm;absent;dna;dna;absent;present;absent;abnorm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;2-4-d-injury
august;lt-normal;norm;lt-norm;yes;diff-lst-year;scattered;minor;other;90-100;norm;abnorm;absent;dna;dna;absent;absent;upper-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
may;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
september;normal;norm;gt-norm;no;same-lst-two-yrs;upper-areas;pot-severe;other;90-100;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;present;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
august;lt-normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;none;80-89;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;present;firm-and-dry;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;absent;lt-norm;present;norm;anthracnose
july;normal;lt-norm;gt-norm;no;diff-lst-year;whole-field;pot-severe;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
august;lt-normal;norm;gt-norm;yes;same-lst-sev-yrs;upper-areas;minor;fungicide;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;present;absent;norm;yes;absent;dna;absent;absent;present;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;phyllosticta-leaf-spot
august;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;upper-areas;minor;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
october;lt-normal;gt-norm;gt-norm;no;same-lst-two-yrs;upper-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;no;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;anthracnose
august;normal;gt-norm;norm;no;diff-lst-year;low-areas;pot-severe;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;bacterial-blight
september;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;present;norm;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;brown-spot
august;normal;gt-norm;gt-norm;yes;same-lst-yr;whole-field;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
october;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;scattered;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
may;lt-normal;gt-norm;gt-norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;dna;norm;absent;absent;norm;absent;rotted;phytophthora-rot
september;normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;present;absent;abnorm;yes;above-sec-nde;tan;present;firm-and-dry;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
july;normal;gt-norm;gt-norm;no;diff-lst-year;scattered;minor;none;lt-80;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;absent;absent;absent;abnorm;no;absent;tan;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;purple-seed-stain
october;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;lt-normal;norm;gt-norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;absent;dk-brown-blk;absent;watery;absent;none;absent;dna;absent;norm;absent;absent;norm;absent;norm;phytophthora-rot
october;lt-normal;gt-norm;gt-norm;yes;same-lst-yr;whole-field;pot-severe;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;normal;gt-norm;norm;yes;same-lst-yr;upper-areas;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
